"StateCode","CountyName","MedianHousePrice"
"AK","Anchorage",306691.67
"AK","Fairbanks North Star",193461.38
"AK","Juneau",349950.00
"AK","Kenai Peninsula",238358.50
"AK","Kodiak Island",332500.00
"AK","Matanuska Susitna",234475.00
"AK","Sitka",426900.00
"AL","Autauga",183163.25
"AL","Baldwin",255185.71
"AL","Barbour",195000.00
"AL","Blount",154450.00
"AL","Butler",129900.00
"AL","Calhoun",127130.00
"AL","Cherokee",218633.33
"AL","Chilton",159416.67
"AL","Clay",229000.00
"AL","Coffee",127750.00
"AL","Colbert",142616.67
"AL","Covington",151500.00
"AL","Cullman",173425.00
"AL","Dale",118733.33
"AL","De Kalb",177900.00
"AL","Elmore",179305.40
"AL","Escambia",134900.00
"AL","Etowah",149900.00
"AL","Geneva",113450.00
"AL","Henry",173625.00
"AL","Houston",164890.00
"AL","Jackson",171175.00
"AL","Jefferson",203667.77
"AL","Lauderdale",201560.00
"AL","Lawrence",129900.00
"AL","Lee",239078.57
"AL","Limestone",184633.33
"AL","Madison",219543.17
"AL","Marengo",144900.00
"AL","Marshall",159430.00
"AL","Mobile",142357.22
"AL","Montgomery",125411.11
"AL","Morgan",178716.67
"AL","Pike",155475.00
"AL","Randolph",329450.00
"AL","Russell",128250.00
"AL","Saint Clair",218175.00
"AL","Shelby",228683.57
"AL","Talladega",153716.67
"AL","Tallapoosa",324900.00
"AL","Tuscaloosa",221223.93
"AL","Walker",167400.00
"AL","Winston",277175.00
"AR","Arkansas",99450.00
"AR","Ashley",106000.00
"AR","Baxter",149900.00
"AR","Benton",245274.55
"AR","Boone",144700.00
"AR","Carroll",211250.00
"AR","Clark",138000.00
"AR","Clay",79250.00
"AR","Cleburne",225233.33
"AR","Columbia",147000.00
"AR","Craighead",170083.33
"AR","Crawford",148200.00
"AR","Crittenden",155000.00
"AR","Cross",110500.00
"AR","Drew",160000.00
"AR","Faulkner",166456.20
"AR","Franklin",109000.00
"AR","Fulton",139900.00
"AR","Garland",208199.75
"AR","Grant",145000.00
"AR","Greene",134900.00
"AR","Hot Spring",95700.00
"AR","Izard",135616.67
"AR","Jefferson",99975.00
"AR","Johnson",125650.00
"AR","Logan",93700.00
"AR","Lonoke",153162.50
"AR","Marion",156466.67
"AR","Mississippi",84950.00
"AR","Polk",129950.00
"AR","Pope",140283.33
"AR","Pulaski",192385.00
"AR","Saline",186470.00
"AR","Scott",89900.00
"AR","Sebastian",155878.57
"AR","Sharp",99575.00
"AR","Stone",168250.00
"AR","Van Buren",113800.00
"AR","Washington",234571.43
"AR","White",140750.00
"AR","Yell",109900.00
"AZ","Apache",167000.00
"AZ","Cochise",166185.71
"AZ","Coconino",374548.67
"AZ","Gila",231450.00
"AZ","Graham",170000.00
"AZ","Maricopa",325221.46
"AZ","Mohave",213790.91
"AZ","Navajo",255351.50
"AZ","Pima",238370.84
"AZ","Pinal",227981.61
"AZ","Santa Cruz",294500.00
"AZ","Yavapai",380787.12
"AZ","Yuma",173972.50
"CA","Alameda",779768.32
"CA","Amador",349510.00
"CA","Butte",290666.67
"CA","Calaveras",371098.50
"CA","Contra Costa",750223.83
"CA","Del Norte",258500.00
"CA","El Dorado",468200.00
"CA","Fresno",289051.98
"CA","Glenn",279900.00
"CA","Humboldt",314700.00
"CA","Imperial",247728.75
"CA","Inyo",422450.00
"CA","Kern",226028.38
"CA","Kings",254950.00
"CA","Lake",291100.00
"CA","Los Angeles",814689.46
"CA","Madera",350989.21
"CA","Marin",1651125.00
"CA","Mariposa",298500.00
"CA","Mendocino",408816.67
"CA","Merced",269839.00
"CA","Modoc",125000.00
"CA","Mono",564000.00
"CA","Monterey",927221.29
"CA","Napa",671333.00
"CA","Nevada",539400.00
"CA","Orange",893505.78
"CA","Placer",505824.29
"CA","Plumas",305833.33
"CA","Riverside",409814.38
"CA","Sacramento",370150.14
"CA","San Benito",559000.00
"CA","San Bernardino",349178.01
"CA","San Diego",795167.35
"CA","San Francisco",1205444.39
"CA","San Joaquin",379324.38
"CA","San Luis Obispo",703927.86
"CA","San Mateo",1459382.88
"CA","Santa Barbara",1110864.62
"CA","Santa Clara",1224081.44
"CA","Santa Cruz",851612.50
"CA","Shasta",268733.33
"CA","Siskiyou",287000.00
"CA","Solano",443210.77
"CA","Sonoma",653717.50
"CA","Stanislaus",306983.14
"CA","Sutter",303699.75
"CA","Tehama",258466.67
"CA","Trinity",275000.00
"CA","Tulare",242858.33
"CA","Tuolumne",286050.00
"CA","Ventura",673261.90
"CA","Yolo",493785.00
"CA","Yuba",273222.50
"CO","Adams",356043.29
"CO","Alamosa",193250.00
"CO","Arapahoe",381768.04
"CO","Archuleta",409000.00
"CO","Boulder",609318.35
"CO","Broomfield",497250.00
"CO","Chaffee",433500.00
"CO","Costilla",344999.00
"CO","Custer",320000.00
"CO","Delta",328116.67
"CO","Denver",493168.19
"CO","Douglas",550524.23
"CO","Eagle",1288500.00
"CO","El Paso",320824.00
"CO","Elbert",485450.00
"CO","Fremont",224500.00
"CO","Garfield",480300.00
"CO","Gilpin",417950.00
"CO","Grand",636216.00
"CO","Gunnison",1199000.00
"CO","Hinsdale",447500.00
"CO","Huerfano",135000.00
"CO","Jefferson",472281.89
"CO","La Plata",503633.33
"CO","Lake",274950.00
"CO","Larimer",413634.77
"CO","Las Animas",187000.00
"CO","Logan",139900.00
"CO","Mesa",256922.63
"CO","Moffat",179900.00
"CO","Montezuma",329833.33
"CO","Montrose",414975.00
"CO","Ouray",666950.00
"CO","Park",404487.50
"CO","Pitkin",2425000.00
"CO","Pueblo",216073.75
"CO","Rio Blanco",210250.00
"CO","Rio Grande",254466.67
"CO","Saguache",239000.00
"CO","Summit",795000.00
"CO","Teller",302450.00
"CO","Weld",353303.31
"CT","Fairfield",811644.87
"CT","Hartford",262291.15
"CT","Litchfield",299412.00
"CT","Middlesex",334012.46
"CT","New Haven",258370.28
"CT","New London",269311.14
"CT","Tolland",246475.00
"CT","Windham",214332.67
"DC","District of Columbia",601965.90
"DE","Kent",228883.33
"DE","New Castle",249964.21
"DE","Sussex",320488.28
"FL","Alachua",208802.00
"FL","Baker",183900.00
"FL","Bay",286545.00
"FL","Brevard",270705.00
"FL","Broward",354099.14
"FL","Charlotte",276744.41
"FL","Citrus",179364.29
"FL","Clay",226973.33
"FL","Collier",526189.81
"FL","Columbia",202737.50
"FL","Duval",219081.20
"FL","Escambia",178822.00
"FL","Flagler",271450.00
"FL","Franklin",404950.00
"FL","Gadsden",139450.00
"FL","Gulf",349900.00
"FL","Hendry",169000.00
"FL","Hernando",195279.31
"FL","Highlands",152841.67
"FL","Hillsborough",267808.08
"FL","Holmes",133500.00
"FL","Indian River",303833.57
"FL","Jackson",132150.00
"FL","Lake",256320.96
"FL","Lee",304501.48
"FL","Leon",213000.00
"FL","Levy",216116.67
"FL","Madison",160500.00
"FL","Manatee",405303.50
"FL","Marion",186304.25
"FL","Martin",354559.00
"FL","Miami-Dade",455076.31
"FL","Monroe",725000.00
"FL","Nassau",270400.00
"FL","Okaloosa",297912.50
"FL","Okeechobee",165000.00
"FL","Orange",306403.54
"FL","Osceola",244524.62
"FL","Palm Beach",380702.83
"FL","Pasco",225489.94
"FL","Pinellas",300552.03
"FL","Polk",206101.86
"FL","Putnam",203925.00
"FL","Saint Johns",376275.56
"FL","Saint Lucie",235653.75
"FL","Santa Rosa",293799.17
"FL","Sarasota",363808.61
"FL","Seminole",301841.70
"FL","Sumter",256550.00
"FL","Suwannee",218250.00
"FL","Taylor",175000.00
"FL","Volusia",229084.50
"FL","Wakulla",265250.00
"FL","Walton",374567.50
"FL","Washington",150000.00
"GA","Baldwin",189900.00
"GA","Barrow",187900.00
"GA","Bartow",190410.00
"GA","Ben Hill",89900.00
"GA","Berrien",124900.00
"GA","Bibb",132814.92
"GA","Bryan",202158.33
"GA","Bulloch",170450.00
"GA","Burke",169900.00
"GA","Butts",159900.00
"GA","Camden",202963.33
"GA","Candler",159900.00
"GA","Carroll",161062.50
"GA","Catoosa",195000.00
"GA","Chatham",282508.64
"GA","Cherokee",300047.08
"GA","Clarke",196162.50
"GA","Clayton",122974.94
"GA","Cobb",293780.58
"GA","Coffee",116850.00
"GA","Colquitt",150550.00
"GA","Columbia",228736.88
"GA","Coweta",270218.50
"GA","Crisp",229750.00
"GA","Dawson",269000.00
"GA","Decatur",148225.00
"GA","Dekalb",309129.50
"GA","Dodge",109000.00
"GA","Dougherty",137200.00
"GA","Douglas",172300.00
"GA","Effingham",200633.33
"GA","Elbert",130000.00
"GA","Fannin",323083.33
"GA","Fayette",377143.80
"GA","Floyd",161700.00
"GA","Forsyth",374361.50
"GA","Fulton",458164.33
"GA","Gilmer",236836.67
"GA","Glynn",790437.38
"GA","Gordon",195365.00
"GA","Grady",166700.00
"GA","Greene",470000.00
"GA","Gwinnett",274908.50
"GA","Habersham",234700.00
"GA","Hall",225481.07
"GA","Hancock",175000.00
"GA","Harris",271600.00
"GA","Hart",259950.00
"GA","Henry",207223.10
"GA","Houston",208272.00
"GA","Jackson",265018.13
"GA","Jasper",177750.00
"GA","Jeff Davis",95000.00
"GA","Lamar",142500.00
"GA","Lanier",134900.00
"GA","Laurens",152400.00
"GA","Lee",159900.00
"GA","Liberty",177400.00
"GA","Long",185000.00
"GA","Lowndes",148262.50
"GA","Lumpkin",292000.00
"GA","McDuffie",135000.00
"GA","McIntosh",257500.00
"GA","Meriwether",84900.00
"GA","Mitchell",83700.00
"GA","Morgan",356725.00
"GA","Murray",149900.00
"GA","Muscogee",177165.00
"GA","Newton",227275.00
"GA","Oconee",337433.17
"GA","Peach",166900.00
"GA","Pickens",319250.00
"GA","Pierce",184900.00
"GA","Polk",141456.25
"GA","Putnam",299000.00
"GA","Rabun",289900.00
"GA","Richmond",203520.00
"GA","Rockdale",194316.67
"GA","Screven",111950.00
"GA","Seminole",162249.50
"GA","Spalding",139900.00
"GA","Stephens",207225.00
"GA","Sumter",98500.00
"GA","Tattnall",125000.00
"GA","Thomas",191600.00
"GA","Tift",143675.00
"GA","Toombs",141950.00
"GA","Towns",275475.00
"GA","Troup",154054.50
"GA","Union",249922.00
"GA","Upson",105000.00
"GA","Walker",144525.00
"GA","Walton",244433.33
"GA","Ware",109900.00
"GA","Washington",120000.00
"GA","Wayne",122950.00
"GA","White",208286.67
"GA","Whitfield",182925.00
"HI","Hawaii",440677.23
"HI","Honolulu",718151.47
"HI","Kauai",717798.50
"HI","Maui",712428.57
"IA","Appanoose",76900.00
"IA","Benton",142500.00
"IA","Black Hawk",130850.00
"IA","Boone",129950.00
"IA","Bremer",187250.00
"IA","Buchanan",126500.00
"IA","Buena Vista",159500.00
"IA","Carroll",144900.00
"IA","Cass",89950.00
"IA","Cerro Gordo",186525.00
"IA","Clarke",129900.00
"IA","Clay",156950.00
"IA","Clinton",69900.00
"IA","Dallas",224300.00
"IA","Decatur",84000.00
"IA","Des Moines",105000.00
"IA","Dickinson",267533.33
"IA","Dubuque",201325.00
"IA","Guthrie",239500.00
"IA","Hamilton",105000.00
"IA","Hardin",135000.00
"IA","Humboldt",128400.00
"IA","Jasper",99900.00
"IA","Jefferson",137500.00
"IA","Johnson",294771.43
"IA","Jones",184500.00
"IA","Kossuth",129900.00
"IA","Lee",89700.00
"IA","Linn",212683.25
"IA","Madison",219900.00
"IA","Mahaska",111400.00
"IA","Marion",204925.00
"IA","Mills",169900.00
"IA","Monroe",107000.00
"IA","Montgomery",92500.00
"IA","Muscatine",139900.00
"IA","Page",84700.00
"IA","Polk",228085.22
"IA","Pottawattamie",131362.50
"IA","Poweshiek",159900.00
"IA","Scott",224615.00
"IA","Shelby",114400.00
"IA","Sioux",227046.00
"IA","Story",238187.50
"IA","Wapello",88000.00
"IA","Warren",267885.00
"IA","Washington",119000.00
"IA","Webster",102500.00
"IA","Woodbury",202150.00
"ID","Ada",324113.00
"ID","Bannock",184450.00
"ID","Bear Lake",111200.00
"ID","Bingham",147500.00
"ID","Blaine",479000.00
"ID","Boise",293500.00
"ID","Bonner",434000.00
"ID","Bonneville",212212.50
"ID","Boundary",259000.00
"ID","Canyon",223134.29
"ID","Elmore",161250.00
"ID","Gem",210900.00
"ID","Gooding",126500.00
"ID","Jefferson",249900.00
"ID","Jerome",199900.00
"ID","Kootenai",342090.00
"ID","Latah",255328.50
"ID","Lemhi",239000.00
"ID","Lincoln",165250.00
"ID","Nez Perce",225000.00
"ID","Payette",204949.50
"ID","Teton",399000.00
"ID","Twin Falls",249450.00
"ID","Valley",393875.00
"ID","Washington",177950.00
"IL","Adams",184175.00
"IL","Bond",78000.00
"IL","Boone",167450.00
"IL","Bureau",107200.00
"IL","Carroll",151999.50
"IL","Champaign",170925.00
"IL","Christian",89450.00
"IL","Clinton",128950.00
"IL","Coles",85575.00
"IL","Cook",297916.95
"IL","DeKalb",190512.50
"IL","Dewitt",88250.00
"IL","Douglas",110700.00
"IL","Du Page",389841.55
"IL","Effingham",203000.00
"IL","Fayette",99500.00
"IL","Ford",104500.00
"IL","Franklin",69725.00
"IL","Fulton",74900.00
"IL","Grundy",208787.50
"IL","Henry",169450.00
"IL","Iroquois",79500.00
"IL","Jackson",96175.00
"IL","Jefferson",109900.00
"IL","Jersey",100000.00
"IL","Jo Daviess",209350.00
"IL","Kane",266142.98
"IL","Kankakee",148333.33
"IL","Kendall",214797.50
"IL","Knox",76900.00
"IL","La Salle",127858.33
"IL","Lake",349944.33
"IL","Lee",129900.00
"IL","Livingston",100400.00
"IL","Logan",85750.00
"IL","Macon",141350.00
"IL","Macoupin",107450.00
"IL","Madison",144140.91
"IL","Marshall",189400.00
"IL","Massac",81950.00
"IL","McDonough",109900.00
"IL","McHenry",229795.63
"IL","McLean",180669.90
"IL","Menard",166900.00
"IL","Monroe",238000.00
"IL","Montgomery",77450.00
"IL","Morgan",114900.00
"IL","Moultrie",100000.00
"IL","Ogle",159566.67
"IL","Peoria",147591.82
"IL","Perry",76450.00
"IL","Piatt",175000.00
"IL","Putnam",131500.00
"IL","Richland",94900.00
"IL","Rock Island",95666.67
"IL","Saint Clair",131716.67
"IL","Saline",76675.00
"IL","Sangamon",182735.71
"IL","Stephenson",117450.00
"IL","Tazewell",136730.00
"IL","Vermilion",57000.00
"IL","Warren",86000.00
"IL","Washington",119500.00
"IL","Wayne",93500.00
"IL","White",99950.00
"IL","Whiteside",88366.67
"IL","Will",229104.40
"IL","Williamson",124400.00
"IL","Winnebago",118172.22
"IL","Woodford",165925.00
"IN","Adams",96500.00
"IN","Allen",140516.67
"IN","Bartholomew",199675.00
"IN","Blackford",59900.00
"IN","Boone",269530.00
"IN","Brown",289700.00
"IN","Cass",69000.00
"IN","Clark",260750.00
"IN","Clinton",77250.00
"IN","Dearborn",163200.00
"IN","Decatur",129950.00
"IN","Delaware",75600.00
"IN","Dubois",177500.00
"IN","Elkhart",214642.50
"IN","Floyd",261200.00
"IN","Franklin",143900.00
"IN","Grant",79550.00
"IN","Greene",107425.00
"IN","Hamilton",362175.36
"IN","Hancock",227946.67
"IN","Harrison",175400.00
"IN","Hendricks",229459.38
"IN","Howard",67900.00
"IN","Huntington",147400.00
"IN","Jackson",125700.00
"IN","Jasper",164900.00
"IN","Jefferson",144900.00
"IN","Jennings",96414.50
"IN","Johnson",230072.25
"IN","Kosciusko",236800.00
"IN","La Porte",169700.00
"IN","Lake",185538.54
"IN","Lawrence",100575.00
"IN","Madison",105920.00
"IN","Marion",165584.10
"IN","Marshall",204575.00
"IN","Miami",74900.00
"IN","Monroe",226871.70
"IN","Montgomery",124375.00
"IN","Morgan",200000.00
"IN","Noble",108500.00
"IN","Orange",87450.00
"IN","Parke",115000.00
"IN","Porter",243757.88
"IN","Pulaski",108950.00
"IN","Putnam",139900.00
"IN","Ripley",185900.00
"IN","Saint Joseph",128883.33
"IN","Scott",148400.00
"IN","Shelby",126000.00
"IN","Spencer",215000.00
"IN","Starke",137400.00
"IN","Steuben",200000.00
"IN","Tippecanoe",169112.50
"IN","Vanderburgh",128850.00
"IN","Vigo",88250.00
"IN","Wabash",93325.00
"IN","Warrick",261450.00
"IN","Wayne",74500.00
"IN","Wells",119500.00
"IN","White",149900.00
"IN","Whitley",160000.00
"KS","Allen",102000.00
"KS","Atchison",75000.00
"KS","Barton",119000.00
"KS","Butler",171475.00
"KS","Cherokee",61850.00
"KS","Cloud",63900.00
"KS","Coffey",138825.00
"KS","Cowley",69900.00
"KS","Crawford",80500.00
"KS","Dickinson",119700.00
"KS","Douglas",229984.90
"KS","Ellis",195000.00
"KS","Finney",206000.00
"KS","Ford",145000.00
"KS","Franklin",122225.00
"KS","Geary",119500.00
"KS","Grant",128500.00
"KS","Harvey",127000.00
"KS","Johnson",356090.67
"KS","Kingman",95250.00
"KS","Labette",59250.00
"KS","Leavenworth",219133.33
"KS","Lyon",121750.00
"KS","McPherson",148500.00
"KS","Montgomery",70500.00
"KS","Morris",169900.00
"KS","Neosho",79500.00
"KS","Pawnee",86200.00
"KS","Pottawatomie",235000.00
"KS","Pratt",92250.00
"KS","Reno",104950.00
"KS","Riley",209950.00
"KS","Russell",81950.00
"KS","Saline",130000.00
"KS","Sedgwick",164202.44
"KS","Seward",118500.00
"KS","Shawnee",128290.00
"KS","Sherman",94647.50
"KS","Sumner",68000.00
"KS","Wyandotte",136191.67
"KY","Adair",141500.00
"KY","Allen",115000.00
"KY","Anderson",164900.00
"KY","Barren",152500.00
"KY","Boone",228865.90
"KY","Boyd",150950.00
"KY","Boyle",192400.00
"KY","Bullitt",219400.00
"KY","Calloway",186000.00
"KY","Campbell",181735.00
"KY","Carroll",157400.00
"KY","Carter",99900.00
"KY","Christian",113424.75
"KY","Clark",165000.00
"KY","Clay",87450.00
"KY","Daviess",193128.33
"KY","Estill",98000.00
"KY","Fayette",245402.50
"KY","Fleming",129900.00
"KY","Floyd",121450.00
"KY","Franklin",153200.00
"KY","Garrard",169900.00
"KY","Grant",162250.00
"KY","Graves",119900.00
"KY","Grayson",145000.00
"KY","Hardin",164500.00
"KY","Harlan",89000.00
"KY","Harrison",142500.00
"KY","Henderson",165900.00
"KY","Hopkins",129900.00
"KY","Jefferson",204709.98
"KY","Jessamine",254800.00
"KY","Kenton",162599.00
"KY","Knox",119700.00
"KY","Larue",146500.00
"KY","Laurel",160950.00
"KY","Lincoln",120776.00
"KY","Lyon",252450.00
"KY","Madison",171450.00
"KY","Marion",124900.00
"KY","Marshall",164091.67
"KY","Mason",104950.00
"KY","McCracken",146075.00
"KY","Meade",184900.00
"KY","Menifee",79700.00
"KY","Mercer",161000.00
"KY","Montgomery",142000.00
"KY","Muhlenberg",109675.00
"KY","Nelson",179900.00
"KY","Oldham",344900.00
"KY","Owen",169000.00
"KY","Perry",146350.00
"KY","Pike",188250.00
"KY","Powell",117000.00
"KY","Pulaski",155700.00
"KY","Rowan",162200.00
"KY","Russell",137400.00
"KY","Scott",217470.00
"KY","Shelby",214900.00
"KY","Simpson",157500.00
"KY","Spencer",235000.00
"KY","Taylor",164500.00
"KY","Trigg",189500.00
"KY","Warren",226450.00
"KY","Wayne",154900.00
"KY","Whitley",129350.00
"KY","Woodford",261000.00
"LA","Acadia",159900.00
"LA","Ascension",242725.00
"LA","Avoyelles",140500.00
"LA","Beauregard",160249.50
"LA","Bossier",226737.50
"LA","Caddo",168030.00
"LA","Calcasieu",214995.00
"LA","Concordia",142000.00
"LA","De Soto",291500.00
"LA","East Baton Rouge",260305.56
"LA","Evangeline",109450.00
"LA","Iberia",147125.00
"LA","Jefferson",213416.67
"LA","Lafayette",211239.95
"LA","Lafourche",165231.88
"LA","Lincoln",257000.00
"LA","Livingston",213500.00
"LA","Morehouse",90000.00
"LA","Natchitoches",194500.00
"LA","Orleans",304438.32
"LA","Ouachita",246250.00
"LA","Plaquemines",359000.00
"LA","Rapides",188663.33
"LA","Saint Bernard",148300.00
"LA","Saint Charles",229500.00
"LA","Saint John the Baptist",150000.00
"LA","Saint Landry",129250.00
"LA","Saint Martin",163325.00
"LA","Saint Mary",142250.00
"LA","Saint Tammany",247212.50
"LA","Tangipahoa",183349.92
"LA","Terrebonne",175058.00
"LA","Vermilion",179925.00
"LA","Vernon",158500.00
"MA","Barnstable",529773.89
"MA","Berkshire",336322.22
"MA","Bristol",322326.56
"MA","Dukes",1561250.00
"MA","Essex",458830.43
"MA","Franklin",187450.00
"MA","Hampden",217731.63
"MA","Hampshire",264590.00
"MA","Middlesex",623710.31
"MA","Nantucket",2772500.00
"MA","Norfolk",732503.57
"MA","Plymouth",469775.68
"MA","Suffolk",605718.00
"MA","Worcester",333492.80
"MD","Allegany",101725.00
"MD","Anne Arundel",422390.50
"MD","Baltimore",296777.39
"MD","Baltimore City",198250.50
"MD","Calvert",354160.71
"MD","Caroline",172450.00
"MD","Carroll",357239.50
"MD","Cecil",232265.70
"MD","Charles",310571.94
"MD","Dorchester",202000.00
"MD","Frederick",372336.54
"MD","Garrett",369900.00
"MD","Harford",309482.20
"MD","Howard",517112.68
"MD","Kent",283000.00
"MD","Montgomery",566381.83
"MD","Prince Georges",313779.13
"MD","Queen Annes",388330.00
"MD","Saint Marys",289905.42
"MD","Somerset",129900.00
"MD","Talbot",527472.50
"MD","Washington",219787.50
"MD","Wicomico",164275.00
"MD","Worcester",265550.00
"ME","Androscoggin",163447.50
"ME","Aroostook",103783.33
"ME","Cumberland",340403.09
"ME","Franklin",209475.00
"ME","Hancock",182450.00
"ME","Kennebec",171466.67
"ME","Knox",299062.50
"ME","Lincoln",177000.00
"ME","Oxford",184000.00
"ME","Penobscot",161225.00
"ME","Piscataquis",147250.00
"ME","Sagadahoc",215000.00
"ME","Somerset",129000.00
"ME","Washington",149000.00
"ME","York",358105.00
"MI","Alcona",158100.00
"MI","Alger",159900.00
"MI","Allegan",263025.00
"MI","Alpena",82975.00
"MI","Antrim",158145.83
"MI","Barry",204950.00
"MI","Bay",93925.00
"MI","Benzie",336200.00
"MI","Berrien",227525.00
"MI","Branch",142450.00
"MI","Calhoun",99620.00
"MI","Cass",299900.00
"MI","Charlevoix",246812.50
"MI","Cheboygan",162225.00
"MI","Chippewa",133916.67
"MI","Clare",89837.50
"MI","Clinton",216200.00
"MI","Crawford",124900.00
"MI","Delta",108575.00
"MI","Dickinson",64900.00
"MI","Eaton",149900.00
"MI","Emmet",267000.00
"MI","Genesee",156866.56
"MI","Gladwin",111980.75
"MI","Gogebic",64900.00
"MI","Grand Traverse",280792.86
"MI","Gratiot",50000.00
"MI","Hillsdale",109000.00
"MI","Huron",100300.00
"MI","Ingham",138548.56
"MI","Ionia",137300.00
"MI","Iosco",102250.00
"MI","Iron",107299.75
"MI","Isabella",139116.67
"MI","Jackson",157761.67
"MI","Kalamazoo",175490.00
"MI","Kalkaska",127450.00
"MI","Kent",228512.06
"MI","Lake",106175.00
"MI","Lapeer",198200.00
"MI","Lenawee",154510.00
"MI","Livingston",276341.33
"MI","Luce",56950.00
"MI","Mackinac",199000.00
"MI","Macomb",189025.22
"MI","Manistee",159450.00
"MI","Marquette",140333.33
"MI","Mason",194900.00
"MI","Mecosta",154800.00
"MI","Menominee",81372.00
"MI","Midland",142450.00
"MI","Missaukee",139950.00
"MI","Monroe",166900.00
"MI","Montcalm",179900.00
"MI","Montmorency",94250.00
"MI","Muskegon",153699.75
"MI","Newaygo",134950.00
"MI","Oakland",311681.45
"MI","Oceana",178075.00
"MI","Ogemaw",127500.00
"MI","Ontonagon",67250.00
"MI","Osceola",115900.00
"MI","Otsego",129700.00
"MI","Ottawa",263748.13
"MI","Presque Isle",111750.00
"MI","Roscommon",103111.25
"MI","Saginaw",101710.00
"MI","Saint Clair",144212.50
"MI","Saint Joseph",152133.33
"MI","Sanilac",79400.00
"MI","Schoolcraft",105950.00
"MI","Shiawassee",134950.00
"MI","Tuscola",96216.67
"MI","Van Buren",181566.67
"MI","Washtenaw",310048.44
"MI","Wayne",173277.16
"MI","Wexford",114500.00
"MN","Aitkin",194725.00
"MN","Anoka",261093.50
"MN","Becker",265000.00
"MN","Beltrami",219500.00
"MN","Benton",169500.00
"MN","Blue Earth",245000.00
"MN","Carlton",159900.00
"MN","Carver",400550.40
"MN","Cass",174900.00
"MN","Chippewa",118500.00
"MN","Chisago",288700.00
"MN","Clay",220450.00
"MN","Cook",269900.00
"MN","Cottonwood",112000.00
"MN","Crow Wing",298220.00
"MN","Dakota",310902.50
"MN","Dodge",219900.00
"MN","Douglas",249900.00
"MN","Freeborn",91775.00
"MN","Goodhue",190000.00
"MN","Hennepin",365890.53
"MN","Houston",255000.00
"MN","Isanti",222475.00
"MN","Itasca",171250.00
"MN","Kanabec",164900.00
"MN","Kandiyohi",236193.75
"MN","Lake",154900.00
"MN","Lyon",160000.00
"MN","McLeod",171900.00
"MN","Meeker",129900.00
"MN","Mille Lacs",210725.00
"MN","Morrison",159900.00
"MN","Mower",99900.00
"MN","Nicollet",207200.00
"MN","Olmsted",288830.00
"MN","Otter Tail",174950.00
"MN","Pennington",177950.00
"MN","Ramsey",278171.43
"MN","Redwood",99700.00
"MN","Rice",328000.00
"MN","Roseau",149900.00
"MN","Saint Louis",192118.75
"MN","Scott",369740.00
"MN","Sherburne",272608.75
"MN","Stearns",210450.00
"MN","Steele",167450.00
"MN","Todd",129900.00
"MN","Wabasha",220000.00
"MN","Wadena",114900.00
"MN","Waseca",147200.00
"MN","Washington",374760.00
"MN","Winona",148750.00
"MN","Wright",282830.83
"MO","Adair",119000.00
"MO","Audrain",77250.00
"MO","Bates",141000.00
"MO","Benton",109125.00
"MO","Boone",214230.00
